用户id	用户注册时间	最后登录时间	免费筹码	身上货币量	最高拥有	最大赢取	贡献台费	登录总次数	站内好友数	经验值	等级	积分	性别	互动道具	玩过的最大小盲	破产线	IP地址	玩牌局数	赢牌局数	输牌局数	正常牌局	非正常牌局	最高牌类型
7792362	2014/10/7	2014/10/7	0	50	null	420	0	2	4	191	4	0	0	0	10	40	123.244.98.159	28	12	0	28	0	0
7792358	2014/10/7	2014/10/7	0	800	null	null	0	2	2	10	2	0	0	0	0	20	61.150.89.78	null	null	0	0	0	0
7792353	2014/10/7	2014/10/8	1596	1020	1020	20	0	3	2	25	2	5	0	0	10	40	27.156.41.133	1	1	0	1	0	0
7792351	2014/10/7	2014/10/10	1127927	600	5110	90	2740	4	3	235	4	10	0	0	10000	1000	180.142.199.88	37	6	11	14	0	3
7792314	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	116.247.76.62	null	null	0	0	0	0
7792313	2014/10/7	2014/10/7	0	800	null	null	0	2	0	0	0	0	0	0	0	20	113.90.73.174	null	null	0	0	0	0
7792293	2014/10/7	2014/10/7	0	0	70440	21494	1530	2	2	700	6	1	1	10	100	1000	58.39.127.24	198	55	143	197	1	8
7792292	2014/10/7	2014/10/7	0	0	170265200	44120000	3270100	2	0	847	7	0	0	20	50000	1000	157.61.210.103	106	42	64	106	0	7
7792268	2014/10/7	2014/10/7	4817	150	null	610	0	2	0	181	4	0	0	0	10	40	59.41.28.188	21	11	0	21	0	0
7792255	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	222.89.131.171	null	null	0	0	0	0
7792252	2014/10/7	2014/10/7	0	0	null	null	0	2	2	40	2	0	0	0	10	40	218.66.212.184	6	null	0	6	0	0
7792235	2014/10/7	2014/10/7	0	0	null	null	0	1	3	0	0	0	0	0	0	20	222.240.137.26	null	null	0	0	0	0
7792234	2014/10/7	2014/10/7	0	0	null	null	0	1	3	0	0	0	0	0	0	20	218.76.253.130	null	null	0	0	0	0
7792233	2014/10/7	2014/10/7	28167	2640	3290	540	0	2	6	203	4	0	0	0	50000	1000	183.46.184.120	26	9	17	26	0	8
7792232	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	222.137.15.239	null	null	0	0	0	0
7792228	2014/10/7	2014/10/7	0	0	null	null	0	1	4	0	0	0	0	0	0	20	218.76.253.135	null	null	0	0	0	0
7792227	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	61.158.175.166	null	null	0	0	0	0
7792226	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	61.158.175.166	null	null	0	0	0	0
7792222	2014/10/7	2014/10/7	0	0	null	null	0	1	4	0	0	0	0	0	0	20	218.76.253.135	null	null	0	0	0	0
7792217	2014/10/7	2014/10/7	0	1030	null	20	0	2	2	39	2	0	1	0	10	40	113.103.240.135	2	2	0	2	0	0
7792212	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	182.132.149.152	null	null	0	0	0	0
7792205	2014/10/7	2014/10/7	0	0	null	null	0	1	3	0	0	0	0	0	0	20	182.132.148.13	null	null	0	0	0	0
7792201	2014/10/7	2014/10/7	0	0	null	null	0	1	6	0	0	0	0	0	0	20	122.136.193.110	null	null	0	0	0	0
7792199	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	61.180.39.54	null	null	0	0	0	0
7792198	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	61.180.39.54	null	null	0	0	0	0
7792197	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	1	0	0	20	124.117.223.146	null	null	0	0	0	0
7792196	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	124.117.223.146	null	null	0	0	0	0
7792195	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	61.180.39.54	null	null	0	0	0	0
7792194	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	121.10.218.186	null	null	0	0	0	0
7792193	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	116.252.173.100	null	null	0	0	0	0
7792192	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	124.117.223.146	null	null	0	0	0	0
7792190	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	58.18.133.243	null	null	0	0	0	0
7792191	2014/10/7	2014/10/7	0	0	null	null	0	1	3	0	0	0	0	0	0	20	222.171.224.113	null	null	0	0	0	0
7792189	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	116.252.173.100	null	null	0	0	0	0
7792187	2014/10/7	2014/10/7	0	0	null	null	0	1	3	0	0	0	0	0	0	20	218.29.78.114	null	null	0	0	0	0
7792185	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	219.138.12.58	null	null	0	0	0	0
7792184	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	116.252.47.77	null	null	0	0	0	0
7792183	2014/10/7	2014/10/7	4743	1310	null	310	0	2	1	22	2	0	0	0	10	40	182.130.102.50	1	1	0	1	0	0
7792182	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	61.184.24.197	null	null	0	0	0	0
7792181	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	218.62.89.58	null	null	0	0	0	0
7792180	2014/10/7	2014/10/7	0	0	null	null	0	1	6	0	0	0	0	0	0	20	61.185.81.75	null	null	0	0	0	0
7792178	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	58.18.139.13	null	null	0	0	0	0
7792177	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	117.40.9.123	null	null	0	0	0	0
7792176	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	61.184.80.40	null	null	0	0	0	0
7792175	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	123.7.118.158	null	null	0	0	0	0
7792174	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	116.117.22.14	null	null	0	0	0	0
7792173	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	175.5.233.130	null	null	0	0	0	0
7792172	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	61.185.86.76	null	null	0	0	0	0
7792171	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	180.175.149.187	null	null	0	0	0	0
7792170	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	222.75.211.186	null	null	0	0	0	0
7792169	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	1	0	0	20	61.159.190.92	null	null	0	0	0	0
7792168	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	113.69.247.231	null	null	0	0	0	0
7792167	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	58.18.129.22	null	null	0	0	0	0
7792166	2014/10/7	2014/10/7	0	0	null	null	0	1	6	0	0	0	0	0	0	20	219.145.108.34	null	null	0	0	0	0
7792164	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	125.40.191.173	null	null	0	0	0	0
7792165	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	171.215.103.219	null	null	0	0	0	0
7792163	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	14.19.156.63	null	null	0	0	0	0
7792162	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	58.18.139.13	null	null	0	0	0	0
7792161	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	1	0	0	20	14.120.154.220	null	null	0	0	0	0
7792160	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	27.46.35.164	null	null	0	0	0	0
7792159	2014/10/7	2014/10/7	0	0	null	null	0	1	3	0	0	0	0	0	0	20	182.84.226.2	null	null	0	0	0	0
7792158	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	61.185.31.10	null	null	0	0	0	0
7792157	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	58.20.251.210	null	null	0	0	0	0
7792156	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	1	0	0	20	113.140.67.198	null	null	0	0	0	0
7792155	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	61.178.153.38	null	null	0	0	0	0
7792154	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	58.18.129.22	null	null	0	0	0	0
7792153	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	0	0	0	20	113.141.45.122	null	null	0	0	0	0
7792151	2014/10/7	2014/10/7	0	0	null	null	0	1	0	0	0	0	1	0	0	20	58.18.133.243	null	null	0	0	0	0
7792150	2014/10/7	2014/10/7	0	0	null	null	0	1	1	0	0	0	0	0	0	20	1.58.67.183	null	null	0	0	0	0
7792148	2014/10/7	2014/10/7	0	0	null	null	0	1	2	0	0	0	0	0	0	20	111.75.251.4	null	null	0	0	0	0
7792147	2014/10/7	2014/10/7	49	60	null	460	0	2	6	133	4	0	0	0	10	40	112.112.116.141	19	4	0	19	0	0
7792141	2014/10/6	2014/10/6	0	990	null	null	0	2	0	14	2	0	1	0	10	40	117.22.210.105	3	null	0	0	0	0
7792136	2014/10/6	2014/10/6	0	660	null	null	0	2	1	10	2	0	0	0	0	20	58.251.146.228	null	null	0	0	0	0
7792135	2014/10/6	2014/10/6	5152	1130	null	600	0	2	0	52	3	0	0	0	10	40	118.186.156.233	4	1	0	4	0	0
7792126	2014/10/6	2014/10/6	0	380	null	null	0	2	0	28	2	0	0	0	10	40	125.90.89.5	7	null	0	7	0	0
7792113	2014/10/6	2014/10/6	78	870	1480	180	0	2	3	45	3	0	1	0	10	40	124.64.83.234	7	1	6	0	0	4
7792110	2014/10/6	2014/10/6	0	3000	null	null	0	2	1	0	0	0	0	0	0	20	183.202.74.119	null	null	0	0	0	0
7792107	2014/10/6	2014/10/9	1000	50	107434	40100	7050	4	1	915	7	11	0	17	2500	1000	222.217.18.195	123	36	87	125	0	8
7792106	2014/10/6	2014/10/7	7548	0	12985	885	40	3	0	344	5	5	0	0	100	1000	220.175.175.192	28	7	21	28	1	9
7792094	2014/10/6	2014/10/6	0	1000	null	336	0	2	0	119	3	0	0	0	10	40	101.65.65.74	15	4	0	15	0	0
7792090	2014/10/6	2014/10/9	0	0	29820	10900	495	5	4	1358	8	25	0	12	50000	1000	124.226.231.107	208	75	130	210	0	8
7792089	2014/10/6	2014/10/6	4587	1770	null	90	0	2	1	63	3	0	0	0	10	40	42.94.18.86	4	1	0	4	1	0
7792087	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	1	0	0	20	163.179.236.101	null	null	0	0	0	0
7792085	2014/10/6	2014/10/6	9677	1550	null	120	0	2	0	148	4	0	0	0	10	40	183.207.182.12	28	3	0	29	0	0
7792081	2014/10/6	2014/10/10	1582279236	160	21929664	5244000	2911900	5	5	2032	9	25	1	25	20000	1000	117.70.40.120	679	106	563	662	0	8
7792080	2014/10/6	2014/10/6	0	0	null	null	0	1	0	0	0	0	0	0	0	20	121.227.253.245	null	null	0	0	0	0
7792070	2014/10/6	2014/10/7	2000	3500	17417	1510	320	3	1	364	5	5	1	0	250	1000	175.147.188.23	22	8	14	21	1	9
7792054	2014/10/6	2014/10/6	21749	587	7977	1060	0	2	2	738	6	0	0	7	10	40	125.104.227.101	133	38	50	0	0	8
7792052	2014/10/6	2014/10/6	0	780	null	null	0	2	0	0	0	0	1	0	0	20	42.48.212.51	1	null	0	1	0	0
7792048	2014/10/6	2014/10/6	0	200	null	null	0	2	1	0	0	0	0	0	0	20	218.18.61.245	null	null	0	0	0	0
7792045	2014/10/6	2014/10/6	0	800	null	null	0	2	1	0	0	0	0	0	0	20	218.18.61.245	null	null	0	0	0	0
7792042	2014/10/6	2014/10/8	0	800	null	null	0	4	0	0	0	10	0	0	50000	1000	111.183.201.30	null	null	0	0	0	0
7792037	2014/10/6	2014/10/8	32464	9453	3160	540	0	3	1	491	6	5	0	0	10	40	61.164.215.20	76	17	32	76	0	8
7792036	2014/10/6	2014/10/8	0	0	4544	960	0	3	0	819	7	5	0	10	50	1000	119.190.159.253	156	52	74	48	0	9
7792035	2014/10/6	2014/10/6	0	800	null	null	0	2	1	0	0	0	0	0	0	20	218.18.61.245	null	null	0	0	0	0
7792028	2014/10/6	2014/10/6	0	0	1030	40	5	2	2	151	4	0	0	0	60	1000	124.236.9.70	15	3	11	15	0	5
7792012	2014/10/6	2014/10/6	0	1000	null	4332	0	2	0	109	3	1	0	0	10	40	140.249.87.15	15	5	0	15	0	0
7792010	2014/10/6	2014/10/6	0	780	null	null	0	2	0	0	0	0	0	0	0	20	122.13.236.245	1	null	0	1	0	0
7792006	2014/10/6	2014/10/7	8439	5583	28998	2405	790	3	1	601	6	5	0	10	250	1000	175.147.188.23	68	19	49	68	0	7
7792000	2014/10/6	2014/10/6	0	0	null	null	0	1	0	0	0	0	1	0	0	20	112.4.104.97	null	null	0	0	0	0
7791977	2014/10/6	2014/10/7	1770420	16698	7012	2050	0	3	1	1168	8	5	1	10	10	40	58.20.53.8	205	60	95	206	0	8
7791976	2014/10/6	2014/10/6	0	800	null	null	0	2	0	3	1	0	0	0	0	20	115.46.84.133	1	null	0	2	0	0
7791972	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	0	0	0	20	183.32.139.24	null	null	0	0	0	0
7791965	2014/10/6	2014/10/9	854073	16368	14340	4670	0	4	5	378	5	10	1	0	10	40	49.4.177.144	67	16	51	67	0	8
7791963	2014/10/6	2014/10/6	0	990	null	null	0	2	0	16	2	0	0	0	10	40	27.188.187.147	3	null	0	3	0	0
7791954	2014/10/6	2014/10/6	0	800	null	null	0	2	1	0	0	0	0	0	0	20	218.18.61.245	null	null	0	0	0	0
7791952	2014/10/6	2014/10/6	0	970	null	null	0	2	1	8	2	0	0	0	10	40	114.139.163.106	2	null	0	2	0	0
7791946	2014/10/6	2014/10/6	0	980	null	null	0	2	1	18	2	0	1	0	10	40	27.47.94.185	1	null	0	1	0	0
7791942	2014/10/6	2014/10/6	0	0	8620	810	40	2	4	571	6	1	0	10	50	1000	14.208.241.170	63	20	19	63	0	5
7791938	2014/10/6	2014/10/6	0	870	null	null	0	2	1	24	2	0	0	0	10	40	111.20.186.104	3	null	0	3	0	0
7791932	2014/10/6	2014/10/6	68285	1310	1380	230	0	2	0	68	3	0	0	0	1000	1000	171.222.233.144	10	1	4	11	0	4
7791930	2014/10/6	2014/10/6	3642	990	1160	20	0	2	5	53	3	0	0	0	10	40	117.91.126.69	6	2	4	6	0	3
7791926	2014/10/6	2014/10/6	0	500	1200	null	0	2	6	37	2	0	1	0	10	40	14.208.241.170	4	null	4	4	0	3
7791911	2014/10/6	2014/10/6	0	0	null	null	0	1	0	0	0	0	0	0	0	20	61.154.15.230	null	null	0	0	0	0
7791908	2014/10/6	2014/10/7	0	500	1000	1680	420	3	0	435	5	5	0	0	250	1000	114.216.124.222	57	19	5	57	0	4
7791900	2014/10/6	2014/10/6	0	0	null	null	0	1	4	0	0	0	0	0	0	20	110.81.16.207	null	null	0	0	0	0
7791899	2014/10/6	2014/10/6	23488	180	null	2970	60	2	20	132	4	1	0	0	25	400	58.61.49.85	20	5	0	20	0	0
7791896	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	1	0	0	20	106.115.170.236	null	null	0	0	0	0
7791887	2014/10/6	2014/10/6	0	1968	1988	null	0	2	4	3	1	0	0	0	0	20	117.164.105.59	2	null	2	2	0	0
7791881	2014/10/6	2014/10/6	0	800	null	null	0	2	1	0	0	0	0	0	0	20	125.109.112.107	null	null	0	0	0	0
7791873	2014/10/6	2014/10/6	0	0	null	800	0	2	2	242	4	0	0	0	10	40	113.57.176.2	33	15	0	33	0	0
7791867	2014/10/6	2014/10/6	0	1000	null	9940	625	2	1	424	5	5	0	0	50000	1000	125.109.112.107	28	9	0	28	0	0
7791865	2014/10/6	2014/10/6	5080	100	null	1960	0	2	0	116	3	0	0	0	10	40	116.29.67.213	14	4	0	14	0	0
7791859	2014/10/6	2014/10/9	7319	7319	26530	10790	1000	4	1	587	6	21	0	10	50	1000	175.147.188.23	66	17	49	66	0	7
7791853	2014/10/6	2014/10/6	0	880	null	null	0	2	0	11	2	0	0	0	10	40	183.191.181.247	5	null	0	5	0	0
7791847	2014/10/6	2014/10/6	0	990	null	null	0	2	1	18	2	0	1	0	10	40	182.149.207.191	1	null	0	2	0	0
7791844	2014/10/6	2014/10/6	0	800	null	null	0	2	2	0	0	0	1	0	0	20	60.172.124.232	null	null	0	0	0	0
7791842	2014/10/6	2014/10/6	0	0	null	150	0	2	1	91	3	0	0	0	10	40	116.18.235.72	13	3	0	14	0	0
7791836	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	0	0	0	20	110.7.219.98	null	null	0	0	0	0
7791834	2014/10/6	2014/10/6	0	1040	null	null	0	2	1	11	2	0	1	0	10	40	106.8.69.97	2	null	0	3	0	0
7791828	2014/10/6	2014/10/9	265478	14592	12346	1778	0	3	0	1053	7	5	0	6	10	40	111.8.88.219	184	49	86	186	0	8
7791816	2014/10/6	2014/10/6	0	3170	null	null	0	2	0	8	2	0	0	0	10	40	112.234.55.117	2	null	0	2	0	0
7791802	2014/10/6	2014/10/8	0	0	41454	26936	5100	4	5	577	6	10	0	3	500	1000	182.247.41.72	102	37	61	104	0	8
7791798	2014/10/6	2014/10/6	0	710	null	null	0	2	0	11	2	0	1	0	10	40	120.11.102.27	3	null	0	4	0	0
7791797	2014/10/6	2014/10/7	0	0	65060	25000	3860	3	1	919	7	6	1	10	1000	1000	116.21.89.146	119	40	76	119	0	8
7791793	2014/10/6	2014/10/9	0	0	14870	5000	150	3	1	412	5	5	0	0	250	1000	222.217.18.195	30	10	20	31	0	7
7791790	2014/10/6	2014/10/6	0	880	null	null	0	2	0	8	2	0	0	0	10	40	183.131.11.88	1	null	0	2	0	0
7791785	2014/10/6	2014/10/6	2054	100	null	420	0	2	1	97	3	0	0	0	10	40	221.215.161.62	11	4	0	11	0	0
7791783	2014/10/6	2014/10/6	3142	1290	null	90	0	2	0	53	3	0	1	0	10	40	116.53.57.16	5	1	0	10	0	0
7791776	2014/10/6	2014/10/6	0	800	null	null	0	2	1	0	0	0	1	0	0	20	116.11.249.170	null	null	0	0	0	0
7791772	2014/10/6	2014/10/6	0	0	19030	2340	100	2	0	418	5	0	0	0	50	1000	113.93.167.174	42	5	37	42	0	8
7791765	2014/10/6	2014/10/6	0	800	null	null	0	2	1	0	0	0	0	0	0	20	120.218.152.8	null	null	0	0	0	0
7791751	2014/10/6	2014/10/6	0	0	null	null	0	1	0	0	0	0	1	0	0	20	117.150.167.80	null	null	0	0	0	0
7791743	2014/10/6	2014/10/6	0	0	35564	15352	1300	2	0	591	6	0	0	10	250	1000	220.175.175.192	77	23	37	78	0	8
7791728	2014/10/6	2014/10/6	0	0	1960	610	0	2	7	189	4	0	0	0	10	40	124.161.51.84	25	7	18	25	0	8
7791726	2014/10/6	2014/10/6	0	800	null	null	0	2	5	0	0	0	1	0	0	20	117.25.90.32	null	null	0	0	0	0
7791721	2014/10/6	2014/10/6	2036	1450	null	430	0	2	0	81	3	0	0	0	10	40	218.15.251.118	9	1	0	9	0	0
7791717	2014/10/6	2014/10/6	0	0	null	null	0	1	1	0	0	0	0	0	0	20	125.84.63.36	null	null	0	0	0	0
7791716	2014/10/6	2014/10/6	0	0	null	null	0	1	0	0	0	0	0	0	0	20	114.240.234.226	null	null	0	0	0	0
7791703	2014/10/6	2014/10/6	0	800	null	null	0	2	0	3	1	0	0	0	0	20	182.202.64.212	1	null	0	1	0	0
7791695	2014/10/6	2014/10/6	7302	970	null	240	0	2	0	52	3	0	0	0	10	40	124.239.208.155	6	1	0	7	0	0
7791676	2014/10/6	2014/10/6	0	940	null	null	0	2	0	18	2	0	0	0	10	40	115.48.10.88	2	null	0	2	0	0
7791675	2014/10/6	2014/10/6	0	1140	null	null	0	2	0	13	2	0	0	0	10	40	124.161.222.44	1	null	0	2	0	0
7791668	2014/10/6	2014/10/6	14529	300	2620	540	0	2	12	307	5	1	0	0	10	40	119.51.20.107	53	25	12	53	0	6
7791664	2014/10/6	2014/10/6	1119	100	3350	1530	0	2	1	251	4	1	0	0	10	40	36.62.59.192	39	8	21	39	0	8
7791656	2014/10/6	2014/10/6	0	0	null	null	0	1	0	0	0	0	0	0	0	20	117.151.156.132	null	null	0	0	0	0
7791655	2014/10/6	2014/10/7	0	0	12853	1480	240	3	0	534	6	5	0	10	200	1000	111.122.101.78	73	18	35	75	0	5
7791634	2014/10/6	2014/10/6	0	980	null	null	0	2	0	8	2	0	1	0	10	40	114.83.228.75	2	null	0	2	0	0
7791633	2014/10/6	2014/10/8	4082	100	14944	7350	0	3	1	821	7	5	0	10	10	40	183.27.196.107	162	66	85	165	0	8
7791629	2014/10/6	2014/10/6	0	1000	null	null	0	2	0	8	2	0	0	0	10	40	49.115.252.151	1	null	0	2	0	0
7791624	2014/10/6	2014/10/7	738483955	14800	4177820	399400	147040	3	0	425	5	10	1	0	10000	1000	113.86.22.126	93	26	67	186	0	5
7791623	2014/10/6	2014/10/10	1492765718	1407490	4319570	998500	739285	6	8	3030	10	28	0	22	50000	1000	115.195.152.20	1063	240	797	956	4	10
7791618	2014/10/6	2014/10/6	39255	821	17465	3900	60	2	2	488	6	0	0	10	50	1000	116.20.51.216	49	16	33	51	0	5
7791606	2014/10/6	2014/10/6	0	1100	null	null	0	2	0	13	2	0	1	0	10	40	59.54.0.162	1	null	0	2	0	0
7791602	2014/10/6	2014/10/9	2643473	9600	10651600	2303000	1954030	4	3	1440	8	10	1	0	20000	1000	58.44.97.18	494	119	375	492	2	8
7791599	2014/10/6	2014/10/6	0	970	null	null	0	2	2	18	2	0	0	0	10	40	111.58.195.214	2	null	0	2	0	0
7791593	2014/10/6	2014/10/6	0	960	null	null	0	2	1	15	2	0	0	0	10	40	1.196.58.185	1	null	0	1	0	0
7791587	2014/10/6	2014/10/6	0	900	null	null	0	2	0	8	2	0	0	0	10	40	220.188.179.170	1	null	0	2	0	0
7791581	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	0	0	0	20	218.2.185.212	null	null	0	0	0	0
7791580	2014/10/6	2014/10/6	0	920	null	null	0	2	1	8	2	0	1	0	10	40	221.1.216.138	1	null	0	2	0	0
7791578	2014/10/6	2014/10/6	0	0	10824	372	1200	2	0	484	6	0	0	10	250	1000	123.4.144.129	43	12	12	43	1	5
7791567	2014/10/6	2014/10/9	11665	1840	1860	260	0	3	1	100	3	5	0	0	10	40	175.151.107.110	15	1	12	15	1	9
7791566	2014/10/6	2014/10/6	134016	2318	null	720	0	2	1	149	4	0	0	0	10	40	180.140.16.251	27	3	0	27	0	0
7791562	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	0	0	0	20	218.4.113.234	null	null	0	0	0	0
7791555	2014/10/6	2014/10/6	0	0	8480	5740	595	2	2	300	5	0	1	0	50	1000	218.75.36.182	44	12	20	44	1	8
7791549	2014/10/6	2014/10/10	0	0	13045	4170	195	6	0	676	6	20	1	9	175	1000	121.30.223.162	80	27	51	65	0	8
7791546	2014/10/6	2014/10/7	1094	940	1380	80	0	3	2	142	4	5	0	0	10	40	221.11.109.108	21	6	13	21	0	6
7791545	2014/10/6	2014/10/6	0	970	null	null	0	2	2	18	2	0	1	0	10	40	14.157.142.23	2	null	0	1	1	0
7791529	2014/10/6	2014/10/6	0	990	null	null	0	2	0	8	2	0	0	0	10	40	124.156.6.192	1	null	0	2	0	0
7791515	2014/10/6	2014/10/6	0	800	null	null	0	2	1	0	0	0	0	0	0	20	111.22.0.84	null	null	0	0	0	0
7791513	2014/10/6	2014/10/6	0	980	null	null	0	2	0	8	2	0	1	0	10	40	125.114.58.254	1	null	0	2	0	0
7791509	2014/10/6	2014/10/6	369643	880	null	1630	0	2	0	337	5	0	0	0	10	40	110.72.39.160	41	10	0	40	1	0
7791506	2014/10/6	2014/10/6	940016	2780	null	1340	0	2	1	146	4	0	0	0	10	40	119.115.55.61	19	5	0	20	0	0
7791503	2014/10/6	2014/10/6	229340	2885	2835	740	0	2	0	112	3	0	0	0	10	40	175.44.52.231	14	9	5	14	0	8
7791501	2014/10/6	2014/10/7	1353135	2190	4430	1800	0	3	2	238	4	5	1	0	10	40	119.6.206.6	53	10	30	52	1	6
7791500	2014/10/6	2014/10/9	4480	3620	45708	18950	2340	5	3	1465	8	15	0	27	50000	1000	117.69.213.189	267	67	200	312	2	8
7791493	2014/10/6	2014/10/6	0	0	9830	2130	0	2	0	355	5	0	0	0	10	40	61.143.10.1	39	10	25	39	0	8
7791484	2014/10/6	2014/10/8	0	0	22617	4200	435	4	2	1104	7	10	0	1	50	1000	122.241.33.164	273	81	187	283	1	9
7791483	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	1	0	0	20	183.212.216.151	null	null	0	0	0	0
7791477	2014/10/6	2014/10/6	6184	100	3051	981	0	2	0	321	5	0	0	0	10	40	223.86.41.98	56	12	44	56	0	7
7791475	2014/10/6	2014/10/6	865954	14730	12920	3840	0	2	1	339	5	0	0	0	10	40	14.219.99.187	50	23	23	51	0	8
7791470	2014/10/6	2014/10/9	92473540	160184	167984	46450	15210	5	0	1794	9	15	0	8	50000	1000	61.50.138.152	365	82	283	407	0	9
7791468	2014/10/6	2014/10/6	0	1900	null	20	0	2	1	144	4	0	0	0	10	40	111.122.125.113	25	9	0	24	1	0
7791467	2014/10/6	2014/10/6	0	1010	null	20	0	2	0	33	2	0	0	0	10	40	49.85.57.5	4	1	0	5	0	0
7791464	2014/10/6	2014/10/6	139	150	null	100	0	2	0	94	3	0	0	0	10	40	59.40.125.21	13	2	0	13	0	0
7791463	2014/10/6	2014/10/6	0	1220	null	null	0	2	0	16	2	0	0	0	10	40	59.37.7.82	3	null	0	3	0	0
7791452	2014/10/6	2014/10/7	920	94	2580	830	0	3	0	176	4	5	0	0	1000	1000	222.223.58.76	30	10	11	30	0	8
7791444	2014/10/6	2014/10/6	0	0	null	1750	830	2	1	427	5	0	0	0	250	1000	123.4.144.129	39	9	0	39	0	0
7791438	2014/10/6	2014/10/6	0	800	null	null	0	2	0	0	0	0	0	0	0	20	182.40.209.147	null	null	0	0	0	0
7791431	2014/10/6	2014/10/6	0	970	null	null	0	2	0	11	2	0	0	0	10	40	106.120.152.145	2	null	0	3	0	0
7791427	2014/10/6	2014/10/6	167062	285	10850	2100	1540	2	2	592	6	0	0	10	100	1000	116.20.51.216	68	18	15	68	0	4
7791423	2014/10/6	2014/10/6	302	1180	null	80	0	2	0	98	3	0	0	0	10	40	113.139.19.21	11	6	0	11	1	0
7791414	2014/10/6	2014/10/9	137889	2285	1280	180	0	4	0	160	4	10	0	0	10	40	119.121.35.196	25	8	15	29	0	9
7791412	2014/10/6	2014/10/6	0	780	null	null	0	2	0	3	1	0	1	0	0	20	222.191.253.68	2	null	0	1	1	0
7791411	2014/10/6	2014/10/6	13499	1030	null	20	0	2	0	36	2	0	0	0	10	40	182.114.68.12	6	1	0	6	0	0
